fold,epoch,train_loss,train_auc,train_macro_f1,train_micro_f1,train_lacc,val_loss,val_auc,val_macro_f1,val_micro_f1,val_lacc
1,1,0.1401213235130497,0.5096985092593671,0.005363207707623067,0.00739777757142415,0.986373432868293,0.048705842429199696,0.5881905793779647,0.0007674891592156261,0.006058770069675856,0.9944242308888431
1,2,0.13529690830897884,0.5676651723306282,0.002123683989288102,0.009620118925879636,0.9944442886377852,0.04796578166954344,0.6992490335262231,0.003672619847469827,0.0130997715156131,0.994494756465836
1,3,0.13465817498058832,0.6196947258133216,0.008798953514036312,0.043085627244043086,0.9943941472219956,0.04433752721248392,0.7101400890381728,0.009515114526097898,0.05907657011757958,0.9944242308888431
1,4,0.13398295419723713,0.660548049009235,0.01898036572134342,0.10154149794126655,0.9943903228767236,0.04394755583235671,0.6911695617202818,0.01749683855335944,0.0756,0.992145320075658
1,5,0.1333611392590846,0.7176961335582923,0.03190396564800265,0.161148681132015,0.9944391895107558,0.04385093640140648,0.8371818777430343,0.03968710447732227,0.20318237454100369,0.9944684155876821
1,6,0.13273617869415202,0.730350297774682,0.047130623628126526,0.21290006731534178,0.9945345856789317,0.044065679033292074,0.8278453085788399,0.048681204401294954,0.23221230839624799,0.9942967750268082
1,7,0.13212875706725427,0.7569297731830166,0.0627291256899114,0.26586455625967353,0.9946588769002747,0.04268875516243487,0.8398293497741233,0.06513128203054237,0.2738203266787659,0.9945601838083473
1,8,0.13164405633254544,0.7705980132375527,0.07736635951701923,0.30730990848491696,0.9947895420304043,0.04195755051043114,0.8781586304798275,0.0896521289335874,0.3379044353974716,0.994748818484159
1,9,0.13123641668164096,0.7924619331497494,0.09235208266001135,0.34149716341497166,0.994944428013924,0.042120860847930666,0.870221387523617,0.09504462511785147,0.3574551814604285,0.9950054296197226
1,10,0.13097358858134567,0.8112683502022308,0.0983824783369191,0.35608876257105376,0.9949939320388349,0.04195690079066673,0.8813209063001043,0.10236369363179172,0.3757237829723354,0.995053013141549
