fold,epoch,train_loss,train_auc,train_f1,train_lacc,val_loss,val_auc,val_f1,val_lacc
4,1,0.09253533362705751,0.5069677979137291,0.009797775681854066,0.894250691781567,0.03112266294616444,0.508947836180841,0.0,0.9944521497919556
4,2,0.031544241121597066,0.505343063764969,0.00014978179680536635,0.9944415266106443,0.030820054249937126,0.5306369712200029,0.0,0.9944521497919556
4,3,0.03129121146350056,0.5150709193975627,6.296240558689667e-05,0.9944765831089717,0.030743878313890693,0.5503435524206123,0.0,0.9944521497919556
4,4,0.03133698490367425,0.5149502069525613,0.00012078600159846965,0.9944604358733784,0.031029924312058615,0.5542183224289668,0.0,0.9944521497919556
4,5,0.031060073995592297,0.5322780153668665,0.00012589987451291194,0.9944753083272144,0.030772093845223513,0.6076894910646047,0.0,0.9944436512469066
4,6,0.030959374654818985,0.5476890212409593,2.515217063232557e-05,0.9944772204998504,0.03061243391358385,0.6211137785642217,0.0,0.9944521497919556
4,7,0.03085783616370973,0.5520482349373822,0.0,0.9944804074542437,0.03052974152130907,0.6312882049432585,0.0,0.9944419515378967
4,8,0.030766077270517413,0.5726261376975612,1.413207840477099e-05,0.9944782828179816,0.030462079037095652,0.6277634670251142,0.0,0.9944470506649262
4,9,0.03065774000200237,0.5882982144200337,0.00012135922330097088,0.9944799825269914,0.0302985779137588,0.646044952649255,0.0,0.9944470506649262
4,10,0.030600085163212457,0.58829922447019,2.4894199651481205e-05,0.9944770080362242,0.03023840501612308,0.6432855908760307,0.0,0.9944411016833918
