fold,epoch,train_loss,train_auc,train_macro_f1,train_micro_f1,train_lacc,val_loss,val_auc,val_macro_f1,val_micro_f1,val_lacc
2,1,0.03473821788222766,0.5315209601305992,0.0080591487075884,0.022044428001048267,0.9865215200157734,0.029651230404039,0.6800271019002854,0.007044460642665843,0.06343573250526782,0.9928242349674309
2,2,0.02807906275244654,0.6984168073490433,0.04438841367946023,0.14482174544281334,0.9909894176117048,0.025754728573036262,0.8134914611737349,0.07658184724570602,0.2353990914990266,0.991990673629722
2,3,0.02467071521422025,0.8164644128355574,0.10884235158896699,0.24455821842510286,0.9897800746512199,0.02367598709114437,0.8527989603994074,0.139925647477899,0.27723759660932434,0.9901468121589494
2,4,0.02236837527586841,0.8700467795178017,0.1625465833768902,0.3020550372032597,0.9899555696064833,0.021776599538975587,0.8836224086979334,0.184067345732268,0.339818763326226,0.9915811154597163
2,5,0.020481953668702885,0.9084804565526743,0.20902359046802074,0.3475921209766766,0.9903662617959804,0.02077510333021676,0.9010100944475543,0.23554933748226492,0.39021970233876685,0.9926891317536739
2,6,0.018850236921114663,0.9302162419511951,0.2543449729759306,0.38192959954396466,0.990785452530527,0.019403260510789447,0.9121041528872524,0.2678143252380283,0.4131061598951507,0.9923900353307649
2,7,0.01745293205421345,0.9453017189278449,0.3209799489573609,0.41647531982258224,0.9913070507329145,0.018686254597242984,0.9169698782641661,0.2768237777303552,0.42410599434010804,0.9923917347422587
2,8,0.016193305825715473,0.9548385343039314,0.3681994336206119,0.4463043230295426,0.9917491875390932,0.018030573621746048,0.9238202396711305,0.3093558394075093,0.4133659146445417,0.9912284875747529
2,9,0.015184847112348517,0.9624390471934924,0.4201937070354838,0.4715198029725937,0.9921583924832068,0.0173792778488311,0.9270331238091993,0.32923182235222637,0.44351062552527315,0.9921232277262385
2,10,0.014549531861722302,0.9662749007129343,0.4449744118114168,0.48642120850525467,0.992410161880286,0.017216355245893395,0.9268083006988465,0.3230969910544865,0.4304399524375743,0.9914528098919344
