fold,epoch,train_loss,train_auc,train_f1,train_lacc,val_loss,val_auc,val_f1,val_lacc
1,1,0.03552922451247772,0.5178018184127827,0.004898823129419859,0.9868589122542222,0.03071614619157168,0.603515770026149,0.0007270823139587786,0.9944633173532007
1,2,0.029712352249510483,0.6080247268285558,0.005135348631066348,0.9943616402871829,0.029145659800806193,0.7265638431743489,0.011187325225952985,0.9939203553809317
1,3,0.0280547253030981,0.7112916910691582,0.01651981777791126,0.9942277882026598,0.031019467210095356,0.7257769032283526,0.013318824892195703,0.9933009198914415
1,4,0.026132881643996686,0.7792231644496054,0.03868901649879742,0.994197193440483,0.02619532858640705,0.8269202193376337,0.05578114533271577,0.9938013965763656
1,5,0.024397122081504817,0.8244589489714084,0.07461831896231899,0.9942360742840827,0.024584738987721712,0.8493878698691448,0.08664859553670998,0.9933519022362556
1,6,0.022871207938913035,0.8622908851005086,0.10630825330772559,0.9943928724402382,0.023624611935219284,0.8808140982510624,0.10325812223173818,0.9937597609947676
1,7,0.02152688193450622,0.8844196854817034,0.14110398915982195,0.9946246702564521,0.02217718430758355,0.8921474624824329,0.1427040615631373,0.9941438279923663
1,8,0.02042960671118411,0.9094104930219071,0.16557912777127204,0.994871552990128,0.02015498154354412,0.9041626080341956,0.17780631669183014,0.9947802575967943
1,9,0.019588327759235094,0.9204444723985298,0.18847953417478644,0.9950746682168012,0.019571759745832428,0.9172036648217728,0.1872609864457584,0.9948847714036628
1,10,0.01908690401115546,0.9288886355132262,0.19581539918576185,0.9951741011938755,0.01918846217384718,0.9175492912517303,0.2023109563286132,0.9948669275829781
