fold,epoch,train_loss,train_auc,train_f1,train_lacc,val_loss,val_auc,val_f1,val_lacc
4,1,0.0354508868984732,0.5229115849100537,0.004882999564797486,0.986790498966577,0.030666883306463336,0.603827812377523,0.0014053859003408972,0.9943841614315628
4,2,0.029700595045498775,0.6020578884689094,0.005634788423377163,0.9943718385412418,0.03008411466742361,0.6868123334685566,0.008011603802759617,0.9934416727856192
4,3,0.027950693699283425,0.7132030133862655,0.01782439714629976,0.9942439354382531,0.03660458456412707,0.6688998718032019,0.01440184588950354,0.9895153449729407
4,4,0.025948935848365978,0.7873209115661616,0.040671641892686884,0.9942524339833022,0.03231618502411429,0.7541753388401212,0.0334936813868031,0.9923768050909684
4,5,0.024183118919364543,0.83180613182005,0.07660927482852768,0.9943614278235565,0.025991581843427106,0.8452970778909598,0.06495853412694992,0.9932819001386963
4,6,0.02261708214805991,0.867698658660076,0.11184615269632756,0.9944950674444535,0.022635919726115533,0.8839780984511298,0.12899700217779866,0.9936736830654592
4,7,0.021268801121902065,0.8950268224093058,0.14305640732718017,0.9947255904789102,0.021364562598436904,0.8990475797553082,0.1600925064258178,0.994577928258682
4,8,0.020180444668780186,0.9139328720998953,0.16957779761551242,0.9949429407685405,0.021439566697103268,0.8998876941451462,0.16522653383941635,0.9941479018791983
4,9,0.01935559267136438,0.9233326347284957,0.18945335259305338,0.9951420191863154,0.019729135469559518,0.9183127655380257,0.19558738857893257,0.9948354341736696
4,10,0.018854802659600555,0.9334283719690762,0.20022348334626952,0.9952782083707269,0.019353596637982813,0.9196661981733723,0.20229121477681014,0.994952714095347
