fold,epoch,train_loss,train_auc,train_f1,train_lacc,val_loss,val_auc,val_f1,val_lacc
2,1,0.03545479205403091,0.5215646474996588,0.004855926841828516,0.9868323543009437,0.030297401813821418,0.6083748526122292,0.0031632083603119407,0.994476062939404
2,2,0.029621309415549458,0.6162783007148984,0.006812910401664709,0.9943359321884093,0.02918885055638059,0.7066493599424779,0.020629192597399305,0.9939789850774677
2,3,0.027861190693719045,0.7235285277482709,0.018546324914910407,0.9942116409670665,0.02719177172503658,0.7895422521471359,0.02927387725112587,0.9942067062176368
2,4,0.025866364945425373,0.7974168709888086,0.04271998902235999,0.9942044172037747,0.026996936003922084,0.8234376427207654,0.04885778835276195,0.9929712340616446
2,5,0.02409536492976905,0.8426509617376033,0.07686816746605377,0.9942817539637214,0.026449090671106425,0.8373401134680297,0.06078783852096514,0.9928684196662696
2,6,0.022604105459312265,0.872055849319816,0.1097463665362889,0.9944583112371161,0.02297081534006742,0.8778759218917868,0.13150274070715265,0.993637403367214
2,7,0.02129077866245635,0.8963379345186913,0.14355617297541806,0.9946852223899266,0.02162324198048208,0.8892419164829328,0.14653284012013149,0.9946774432014194
2,8,0.020217344781816925,0.9167009997636725,0.17226126740427006,0.9949180825242718,0.022330024048124113,0.8748494200641402,0.1596083188965674,0.9941718682820141
2,9,0.01938421984336206,0.9255280857552081,0.19353195558121836,0.9951101496423812,0.019657538706884203,0.906456526868432,0.1915423604172122,0.9948992164013601
2,10,0.018936792422472096,0.9338078604847858,0.20249762347503714,0.9952467637540452,0.019305835340130428,0.909016436203321,0.2002324849227794,0.9949476496289337
