fold,epoch,train_loss,train_auc,train_f1,train_lacc,val_loss,val_auc,val_f1,val_lacc
3,1,0.09940493984424434,0.49683458160225275,0.009938076477839048,0.8821205059693781,0.03244542283677189,0.511647496690882,0.0,0.9944616179417068
3,2,0.03179365346672572,0.48886004475302197,4.903288409547886e-05,0.9944264416931821,0.03327465300349383,0.50262778153889,9.906875371507826e-05,0.9944463232382627
3,3,0.03160997782507781,0.4983156764974711,0.00021177673672694052,0.9944270790840608,0.03167708214455643,0.5330150131053271,0.0,0.9944616179417068
3,4,0.03161016528831184,0.5125326312659457,2.8517618419050674e-05,0.994457461382611,0.030820214782721837,0.573692956787594,0.0,0.9944616179417068
3,5,0.03131036495095959,0.5227132090036257,5.9277843474637305e-05,0.9944755207908406,0.03096033170215744,0.59598146598847,0.0,0.9944616179417068
3,6,0.03136278677037826,0.5263406830677263,2.849193640669713e-05,0.994459161091621,0.030625373057438343,0.5881576054096969,0.0,0.9944616179417068
3,7,0.0311235252204312,0.5412094581489023,1.2431162437999576e-05,0.9944772204998504,0.0305808240433312,0.6199922693191975,0.0,0.99446076823596
3,8,0.030977794129651886,0.5563976167845636,0.0,0.9944770080362242,0.03044876733055994,0.6294879297185184,0.0,0.9944616179417068
3,9,0.030863432606280435,0.5641037894818295,1.2431162437999576e-05,0.9944784952816077,0.03038512362822807,0.6289915262968377,0.0,0.9944590688244661
3,10,0.03080262356184694,0.5750118175115385,0.0,0.9944772204998504,0.030375565376195162,0.6333472053781585,0.0,0.9944599185302131
